,Price,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Jogging Track,Swimming Pool,Average_price_per_sq_ft,Andheri,Badlapur,Boisar,Borivali,Chembur,Dahisar,Dombivli,Ghatkopar,Goregaon,Kalyan,Kamothe,Kandivali,Kharghar,Malad,Mira Road,Mulund,Naigaon,Nala Sopara,Panvel,Parle,Powai,Taloja,Thane,Ulwe,Vasai,Virar
2465,9500000,1120,2,0,1,1,0,0,0,1,0,1,0,0,0,0,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
345,5300000,1120,2,1,1,1,1,1,1,1,0,0,1,0,1,1,7766.881873305601,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1767,17500000,1120,2,0,1,1,1,0,1,1,1,1,0,0,1,1,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4343,18000000,1120,2,0,1,1,1,0,1,1,1,1,0,0,1,1,9470.592654222006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1450,9500000,1120,2,0,1,1,1,1,1,1,1,1,0,1,1,1,11445.64260945051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442,9500000,1120,2,0,1,1,1,1,1,1,1,1,1,1,1,1,11445.64260945051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1448,10500000,1120,2,0,1,1,1,0,1,1,1,0,0,1,1,1,11445.64260945051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3606,30000000,1120,3,0,1,1,0,0,0,1,1,1,0,0,0,1,13163.757647515911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3392,9000000,1120,2,1,1,1,0,0,0,1,1,1,0,0,0,0,8172.410045428118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2850,19500000,1120,2,0,1,1,1,1,1,1,1,1,1,1,1,1,13218.2759846628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1382,17500000,1122,1,1,0,1,0,0,0,0,0,0,0,0,0,0,9903.194966820023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3353,8500000,1123,2,1,1,1,0,0,0,1,1,1,0,0,0,0,8172.410045428118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1009,7031000,1125,3,1,1,1,1,0,1,0,1,0,0,0,1,1,11378.827707167562,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1907,14500000,1125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1190,7800000,1125,2,0,1,1,1,1,1,0,0,0,0,0,0,0,12153.185730503088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1632,6700000,1125,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1636,8500000,1125,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3746,26000000,1125,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13163.757647515911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3747,26000000,1125,2,0,0,1,0,0,0,0,0,0,0,0,0,0,13163.757647515911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1153,12700000,1125,2,0,0,0,1,1,1,0,0,0,0,0,0,0,12153.185730503088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2675,12900000,1125,2,1,1,1,0,0,0,0,0,1,0,0,0,0,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
629,12700000,1125,2,0,0,0,1,1,1,0,0,0,0,0,0,0,12356.683791843734,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2467,10000000,1125,2,0,1,1,0,0,0,1,0,1,0,0,0,1,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
621,9900000,1125,2,0,0,0,1,1,1,0,0,0,0,0,0,0,12517.427219084591,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2372,18000000,1125,2,0,0,1,0,0,0,1,0,0,0,0,0,0,15524.020993220844,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
4495,9000000,1125,2,1,1,1,1,0,1,1,1,1,1,1,1,1,13217.986640127636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2134,25800000,1126,3,1,0,0,0,0,0,0,0,0,0,0,0,0,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1635,9200000,1127,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1713,9150000,1127,2,0,1,1,0,0,0,0,1,1,0,0,0,0,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1253,10000000,1129,2,0,0,0,1,1,1,0,0,0,0,0,0,0,12153.185730503088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1258,10400000,1129,2,0,0,0,1,1,1,0,0,0,0,0,0,0,12153.185730503088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
832,21000000,1129,2,0,1,1,1,0,1,1,1,0,1,1,1,1,12985.656981380673,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
518,15500000,1130,2,1,1,1,1,1,1,0,1,1,1,1,1,1,12517.427219084591,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1199,21000000,1130,2,0,1,1,1,1,1,0,0,0,0,0,0,0,12153.185730503088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3244,8588000,1130,2,1,1,1,1,1,1,0,1,1,1,1,1,1,6084.088271231219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2863,11200000,1130,2,1,1,1,1,0,1,1,1,1,1,1,1,1,13218.2759846628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2544,6900000,1130,2,1,1,1,0,0,0,1,1,1,0,0,0,0,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3022,8200000,1130,2,0,1,1,1,0,1,1,1,1,0,0,1,1,11148.00502809653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1955,19800000,1130,2,0,1,1,1,0,1,1,1,1,1,1,1,1,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
661,11000000,1131,2,0,1,1,1,1,1,0,1,0,0,0,0,1,12356.683791843734,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3138,6300000,1131,3,1,0,1,0,0,0,0,1,0,1,0,0,0,11148.00502809653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
687,11399999,1133,2,1,1,0,0,0,1,1,1,1,1,1,1,1,12356.683791843734,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1482,11500000,1133,2,1,1,0,0,0,1,1,1,1,1,1,1,1,11445.64260945051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3510,21000000,1135,2,0,1,1,1,0,0,1,1,1,0,0,0,1,20301.178301132168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1843,14600000,1135,2,0,1,1,0,0,0,1,1,1,0,0,0,1,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3511,16800000,1135,2,0,1,1,1,0,1,1,1,1,1,0,1,1,20301.178301132168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
884,8725000,1135,2,0,1,1,1,1,1,0,0,0,0,0,0,1,11497.831148260064,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,8500000,1135,2,0,1,1,1,0,1,1,1,1,0,1,1,1,11533.32520851746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1244,11100000,1135,2,1,1,1,1,0,1,1,1,0,1,0,1,1,12153.185730503088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1206,21000000,1135,2,0,1,1,1,1,1,0,0,0,0,0,0,0,12153.185730503088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
333,6200000,1135,2,1,0,1,1,1,1,0,0,1,0,0,0,0,7766.881873305601,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2633,7000000,1135,2,0,1,1,1,0,1,1,1,1,1,1,1,1,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
620,10500000,1136,2,0,0,0,1,1,1,0,0,0,0,0,0,0,12517.427219084591,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1532,8100000,1137,2,1,1,1,1,0,1,1,0,0,1,0,1,1,11445.64260945051,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2541,14000000,1137,3,1,1,1,1,0,1,1,1,1,1,1,1,1,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1622,8413000,1137,2,1,1,1,1,0,1,1,0,0,1,0,1,1,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
3109,7731000,1137,2,1,1,1,1,0,1,1,0,0,1,0,1,1,11148.00502809653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3649,8000000,1140,2,0,1,1,1,0,1,1,1,1,1,0,1,0,13163.757647515911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2473,13600000,1140,3,1,1,1,0,0,0,1,1,1,0,0,1,1,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1225,13500000,1140,3,1,1,1,1,1,1,1,1,1,1,1,1,1,12153.185730503088,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500,10000000,1140,2,0,1,1,1,0,1,1,1,0,1,1,1,1,12517.427219084591,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3042,16000000,1140,2,0,1,1,1,0,1,1,1,1,1,1,1,1,11148.00502809653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2085,13100000,1140,2,1,0,0,0,0,0,0,0,0,0,0,0,0,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2086,13100000,1140,2,1,1,1,0,0,0,1,1,1,0,0,0,1,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2868,8000000,1140,2,0,1,1,0,0,0,1,1,1,0,0,0,0,13218.2759846628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3287,10500000,1140,2,1,1,1,1,1,1,1,1,1,1,0,1,1,9286.166981726528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1718,15200000,1140,2,0,1,1,1,0,1,1,1,1,1,1,1,1,14218.652950020318,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2790,19000000,1140,3,0,0,1,0,0,0,1,0,1,0,0,0,0,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2676,9520000,1140,2,1,1,1,0,0,0,1,1,1,0,0,0,1,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
3648,8000000,1140,2,0,1,1,1,0,1,1,1,0,1,0,1,0,13163.757647515911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3354,11500000,1142,2,1,1,1,0,0,0,1,1,1,0,0,0,0,8172.410045428118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3862,27300000,1144,3,0,1,1,1,0,1,1,1,1,1,1,1,1,13163.757647515911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3045,14500000,1145,2,0,1,1,1,0,1,1,1,1,1,0,1,0,11148.00502809653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
744,20099999,1145,2,0,0,0,1,1,1,0,0,0,0,0,0,0,12356.683791843734,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3047,12500000,1145,2,0,1,1,0,0,0,1,1,1,0,0,0,1,11148.00502809653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2696,16299999,1145,2,1,1,1,1,0,1,1,1,0,1,1,1,1,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4435,9000000,1145,2,1,1,1,1,1,1,1,1,1,1,0,1,1,13217.986640127636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2551,13500000,1146,3,1,1,1,1,0,0,1,1,1,1,1,0,1,11638.595473963214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22,12500000,1147,2,0,1,1,1,1,1,1,1,1,1,0,1,1,11533.32520851746,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
771,7311000,1149,3,0,1,1,1,0,1,0,1,0,1,0,0,1,12985.656981380673,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
774,7300000,1149,3,0,1,1,0,0,1,0,1,0,1,0,0,1,12985.656981380673,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1301,7300000,1149,3,0,1,1,1,0,0,0,1,0,1,0,0,1,9903.194966820023,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
