,Price per sqft,Price,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Average_price_per_sq_ft,Andheri,Badlapur,Boisar,Borivali,Chembur,Dahisar,Dombivli,Ghatkopar,Goregaon,Kalyan,Kamothe,Kandivali,Kharghar,Malad,Mira Road,Mulund,Naigaon,Nala Sopara,Panvel,Parle,Powai,Taloja,Thane,Ulwe,Vasai,Virar
135,10860.484544695071,13000000,1197,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,11538.461538461539,15000000,1300,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,7142.857142857143,7500000,1050,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,7661.290322580645,9500000,1240,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
139,8461.538461538461,5500000,650,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,8333.333333333334,5000000,600,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
141,9090.90909090909,5000000,550,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,10000.0,5500000,550,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,6461.538461538462,4200000,650,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,6501.547987616099,4200000,646,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,8108.108108108108,6000000,740,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
